ID,sensor,measurement
id0001,s1,605.188890070132
id0001,s2,1205.27057355606
id0001,s1,698.756993622918
id0001,s2,1938.31455941608
id0002,s1,1091.73367041795
id0002,s2,1965.28480357223
id0002,s1,1393.54389951135
id0002,s2,3537.80929879728
id0003,s1,454.403559639372
id0003,s2,2096.7500952772
id0003,s1,528.950345241129
id0003,s2,3232.76852163217
id0004,s1,133.698660788307
id0004,s2,2529.87112551722
id0004,s1,156.62759516888
id0004,s2,3707.1895666074
id0005,s1,326.343857071513
id0005,s2,1455.84844610535
id0005,s1,321.939615840261
id0005,s2,1935.43486764715
id0006,s1,1420.38935902771
id0006,s2,1931.33857258836
id0006,s1,1368.97809415677
id0006,s2,2631.63448883702
id0007,s1,273.851606639532
id0007,s2,1477.87210597715
id0007,s1,320.327559826858
id0007,s2,2067.26155791111
id0007,s1,324.075075132032
id0008,s1,476.052720634004
id0008,s2,1616.52870076522
id0008,s1,455.378545202622
id0008,s2,1541.95166584772
id0009,s1,608.287742416494
id0009,s2,1196.10416723031
id0009,s1,455.376862463808
id0009,s2,954.219855914134
id0010,s1,735.95455834868
id0010,s2,2809.30779062554
id0010,s1,666.264632097352
id0010,s2,4031.16085314149
id0011,s1,632.213635964457
id0011,s2,866.760213139836
id0011,s1,586.381292619281
id0011,s2,1736.12725200641
id0012,s1,303.43028331446
id0012,s2,2434.51477785351
id0012,s1,339.916308088308
id0012,s2,2266.5281162956
id0013,s1,878.896618174177
id0013,s2,1802.93609719904
id0013,s1,889.130258333627
id0013,s2,1511.57233459194
id0014,s1,472.760642787714
id0014,s2,1955.46551575207
id0014,s1,676.61446342859
id0014,s2,1607.56959953169
id0015,s1,460.838550399069
id0015,s2,1469.48765837609
id0015,s1,529.528310971944
id0015,s2,1500.99196115575
id0016,s1,745.695295662142
id0016,s2,1420.72416826409
id0016,s1,728.995638792622
id0016,s2,1253.85066982192
id0017,s1,656.956948197408
id0017,s2,1148.52450682519
id0017,s1,702.759087347025
id0017,s2,1044.75102964067
id0018,s1,902.384976868098
id0018,s2,1333.90606167486
id0018,s1,1208.40865848345
id0018,s2,1150.16851924198
id0019,s1,1662.88464409939
id0019,s2,1889.65715527096
id0019,s1,1908.74623855566
id0019,s2,1745.08940091579
id0020,s1,1036.91038602461
id0020,s2,2781.23288418309
id0020,s1,1112.50872498264
id0020,s2,2713.32939969312
id0021,s1,1218.31564484953
id0021,s2,2438.86453265589
id0021,s1,1259.20614374995
id0021,s2,2066.90008572601
id0022,s1,701.66013001415
id0022,s2,1227.41986314358
id0022,s1,741.488967156332
id0022,s2,908.945387491958
id0023,s1,1191.15267978384
id0023,s2,2100.70942418546
id0023,s1,1254.16855463678
id0023,s2,1654.97204329122
id0024,s1,902.487429035602
id0024,s2,1440.53489450191
id0024,s1,986.552082200212
id0024,s2,1238.9576886456
id0025,s1,682.016207404439
id0025,s2,2271.76471862619
id0025,s1,702.8702608535
id0025,s2,1653.85421339188
id0026,s1,660.950395931215
id0026,s2,2074.53951400744
id0026,s1,553.952898424902
id0026,s2,1547.92331180821
id0027,s1,421.197211007356
id0027,s2,1932.63585036048
id0027,s1,382.804424071882
id0027,s2,1876.49138154568
id0028,s1,1486.05368494875
id0028,s2,1742.66859945705
id0028,s1,1495.88397946528
id0028,s2,1889.69191375501
id0029,s1,476.412820771105
id0029,s2,1046.57438044413
id0029,s1,466.927912643079
id0029,s2,1245.47339791211
id0030,s1,2171.03754736433
id0030,s2,591.916795245483
id0030,s1,2128.8411312556
id0030,s2,569.654829583072
id0031,s1,1055.00268703819
id0031,s2,1186.16453298707
id0031,s1,975.862405496276
id0031,s2,1011.02919774872
id0032,s1,1853.52829412085
id0032,s2,1286.8369588584
id0032,s1,1864.8432608222
id0032,s2,844.491777067709
id0033,s1,723.996888337149
id0033,s2,2058.39852240803
id0033,s1,811.936365074296
id0033,s2,2087.03950761256
id0034,s1,2317.56584694685
id0034,s2,1560.27565174268
id0034,s1,2239.75030767366
id0034,s2,1585.51382033793
id0035,s1,872.936068730045
id0035,s2,846.478784529617
id0035,s1,864.117947318893
id0035,s2,973.822057867977
id0036,s1,657.487550818947
id0036,s2,1898.98396871887
id0036,s1,585.579906859724
id0036,s2,1831.96709999022
id0037,s1,771.448204283604
id0037,s2,1400.85362690049
id0037,s1,834.896485167529
id0037,s2,1315.02097347682
id0038,s1,479.712241205697
id0038,s2,764.992013085915
id0038,s1,501.211793494445
id0038,s2,853.816687982226
id0039,s1,1776.71181436925
id0039,s2,1648.84928977972
id0039,s1,1726.38579084378
id0039,s2,1771.98501804301
id0040,s1,1055.83562705804
id0040,s2,784.497107358896
id0040,s1,1104.62084925965
id0040,s2,804.830494317961
id0041,s1,1169.16451182085
id0041,s2,951.965059560707
id0041,s1,1261.72338676517
id0041,s2,868.799108529986
id0042,s1,1242.5996045737
id0042,s2,1919.80194890924
id0042,s1,1208.93659271433
id0042,s2,1579.21771288935
id0043,s1,1906.64399647346
id0043,s2,1630.49675625532
id0043,s1,2205.12774274481
id0043,s2,1583.64405090357
id0044,s1,2339.11608075087
id0044,s2,1766.02621296277
id0044,s1,2603.40063365805
id0044,s2,1758.57650921124
id0045,s1,1004.82584285204
id0045,s2,884.223262721153
id0045,s1,1095.86210383511
id0045,s2,919.279029327652
id0046,s1,589.011344655067
id0046,s2,1135.43217148214
id0046,s1,463.949875587737
id0046,s2,1265.81441438518
id0047,s1,1876.33628996547
id0047,s2,1585.03777870535
id0047,s1,1635.04381458952
id0047,s2,1052.58098735556
id0048,s1,1109.94372742122
id0048,s2,1070.23481715997
id0048,s1,1146.87884280383
id0048,s2,1029.74651106912
id0049,s1,43.2186786994134
id0049,s2,872.182648609335
id0049,s1,82.6492707604208
id0049,s2,740.533910688813
id0050,s1,1799.09813832252
id0050,s2,1860.72452948313
id0050,s1,1650.99555241807
id0050,s2,1532.43709192859
id0051,s1,1221.56321247152
id0051,s2,885.222238086993
id0051,s1,1150.50626291307
id0051,s2,788.751855429534
id0052,s1,1188.93619644491
id0052,s2,572.758834718731
id0052,s1,1165.092704715
id0052,s2,655.774693853584
id0053,s1,637.230212301704
id0053,s2,924.546981805081
id0053,s1,545.284093333442
id0053,s2,816.785248802728
id0054,s1,116.460695632905
id0054,s2,730.412366075962
id0054,s1,11.5347555985025
id0054,s2,588.913554279598
id0055,s1,299.843429923857
id0055,s2,1006.5547711658
id0055,s1,252.428219284141
id0055,s2,865.931152471886
id0056,s1,702.101205043564
id0056,s2,1055.1986217822
id0056,s1,687.396478451144
id0056,s2,1127.608627432
id0057,s1,709.163433852272
id0057,s2,982.684048207319
id0057,s1,779.189047309774
id0057,s2,863.491388169737
id0058,s1,410.149424741501
id0058,s2,745.111803490941
id0058,s1,467.308975732885
id0058,s2,691.066549598515
id0059,s1,735.820087642036
id0059,s2,1073.9996667939
id0059,s1,557.22499828137
id0059,s2,1374.08137386368
id0060,s1,2491.78978231379
id0060,s2,1635.51008261072
id0060,s1,2417.62226739721
id0060,s2,1549.88177905284
id0061,s1,1166.59280003516
id0061,s2,1598.6124912877
id0061,s1,1160.41686425487
id0061,s2,1334.64506883157
id0062,s1,1009.61896280513
id0062,s2,963.039777244115
id0062,s1,1149.30813301195
id0062,s2,814.667175430735
id0063,s1,1880.3215728357
id0063,s2,1237.20601387517
id0063,s1,2031.68220358976
id0063,s2,1282.78583196915
id0064,s1,455.894984253819
id0064,s2,546.418245248269
id0064,s1,392.226450596029
id0064,s2,396.247811406148
id0065,s1,1895.79625546125
id0065,s2,1563.87342849695
id0065,s1,1886.18549354564
id0065,s2,1632.62928401367
id0066,s1,947.99252359842
id0066,s2,1994.32253131771
id0066,s1,873.994781692226
id0066,s2,1812.58593364622
id0067,s1,662.46406548293
id0067,s2,1075.53941941383
id0067,s1,534.678349983723
